Name,Position,Primary Functional Role,Official Alternative Functional Roles,Official Eligible Functional Roles,Primary Functional Role Suitability,Best Official Alternative Functional Role,Best Official Alternative Role Suitability,Learned Role Rank 1,Learned Role Rank 1 Probability,Learned Role Rank 2,Learned Role Rank 2 Probability
Désiré Doué,Right Winger,Winger,Central Midfielder|Wide Midfielder,Winger|Central Midfielder|Wide Midfielder,0.27753606881141923,Wide Midfielder,0.318930250273046,Attacking Midfielder,0.3864443814155055,Wide Midfielder,0.318930250273046
Carvajal,Right Back,Fullback,Wide Midfielder,Fullback|Wide Midfielder,0.98902408278031,Wide Midfielder,0.0008575408825007292,Fullback,0.98902408278031,Defensive Midfielder,0.005154664157429079
Marcus Thuram,Striker,Striker,,Striker,0.6564877946233425,,,Striker,0.6564877946233425,Winger,0.1961463369560463
Luis Díaz,Left Midfielder,Wide Midfielder,Winger|Striker,Wide Midfielder|Winger|Striker,0.25712002762262887,Winger,0.5992261471427857,Winger,0.5992261471427857,Wide Midfielder,0.25712002762262887
Nico Schlotterbeck,Center Back,Center Back,,Center Back,0.9844062786109152,,,Center Back,0.9844062786109152,Defensive Midfielder,0.014467836379216425
Heung Min Son,Left Winger,Winger,Striker|Wide Midfielder,Winger|Striker|Wide Midfielder,0.45828266445427374,Wide Midfielder,0.2485621122778135,Winger,0.45828266445427374,Wide Midfielder,0.2485621122778135
Phil Foden,Right Winger,Winger,Central Midfielder|Wide Midfielder,Winger|Central Midfielder|Wide Midfielder,0.29923597708752614,Wide Midfielder,0.2175861653456969,Attacking Midfielder,0.47096400570665387,Winger,0.29923597708752614
Fabián Ruiz,Central Midfielder,Central Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder,0.85472846171816,Defensive Midfielder,0.040612372470398866,Central Midfielder,0.85472846171816,Attacking Midfielder,0.1036539627899935
Youri Tielemans,Central Midfielder,Central Midfielder,Defensive Midfielder|Attacking Midfielder,Central Midfielder|Defensive Midfielder|Attacking Midfielder,0.8467726353830853,Defensive Midfielder,0.07766606352339084,Central Midfielder,0.8467726353830853,Defensive Midfielder,0.07766606352339084
Granit Xhaka,Defensive Midfielder,Defensive Midfielder,Central Midfielder,Defensive Midfielder|Central Midfielder,0.6146805024051022,Central Midfielder,0.38298721188965035,Defensive Midfielder,0.6146805024051022,Central Midfielder,0.38298721188965035
Karim Benzema,Striker,Striker,Attacking Midfielder,Striker|Attacking Midfielder,0.5956671391357368,Attacking Midfielder,0.34869938297039577,Striker,0.5956671391357368,Attacking Midfielder,0.34869938297039577
Iñigo Martínez,Center Back,Center Back,,Center Back,0.9390692510229404,,,Center Back,0.9390692510229404,Defensive Midfielder,0.060919006954089944
