ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
72859,,,55.97176357612257,56.101560056465566,75.27,,,
72860,,,,51.49807058797761,73.63,,,
72861,,,,,,,76.388,59.784170556325435
72862,,,,,,,75.608,54.4131318449946
72863,,79.88,,,,,,
72866,,,,,,,63.528922135519785,79.792
72868,,,,,77.262,,55.98198464728438,
72869,,,,,75.436,,,
72870,,,,,,56.85621298769661,62.443383143588775,77.782
72871,,74.18,,,,,,
72873,,76.61,,,,,,
72874,,74.78,,,,,,
72876,52.526816433164086,,75.47800000000001,,,,,
72877,,,,,74.20400000000001,,,
72884,,68.48757536597809,,75.88,,,,
72887,,77.03999999999999,,,,,,
72888,,,76.752,64.15004279403414,,,,
72889,,,,,76.8,,,
72890,,,,,61.1880210062753,,77.144,
72891,,,,,,71.154,60.44598873082904,51.74242764969161
72892,63.092215071706285,,,,,,75.53999999999999,
72893,74.07,,,,,,55.900457002060804,
72894,,,,,70.99799999999999,,,
72898,,,51.07109191082615,73.64,55.010088683845545,,,
72905,,78.35,,,,,,
72907,,,,,72.596,,,
72909,,,,,74.674,,,
72912,,71.21,,,,,,
72916,,,,,74.61549684009849,,77.886,
72918,,,70.7,52.49041066409843,,,,
72919,,75.63,,,,,,
72936,,,,,,76.21600000000001,,
72940,50.17520512448138,,,,,,75.062,58.736006661198815
72945,,,,,72.99,,,
72954,,,,,73.806,,,
72957,63.12696818935467,,,,,,54.07869664030778,74.974
72964,,,,,69.478,,,
72967,,,51.44339277260232,73.49,,,,
72972,,,64.06801143448303,75.62,,,,
72973,,,,,,71.684,,
72974,,62.562145084801514,,74.16,,,,
72975,,,75.384,59.738488458844394,,,,
72976,,,,,48.184154495330525,,71.532,
72978,,,,,,72.872,,
72981,,74.59,,,,,,
72997,81.68,,,,,,65.74593291595492,60.86312073227053
73002,58.8359567272127,,75.526,,,,54.38980385471674,
73007,,,,,,74.574,,
73008,71.59,,,,,,63.57134042667219,52.07265823588749
73009,,,,,,,73.41,52.22815838964367
73012,,74.69,,,,,,
73016,,71.92,,,,,,
73044,,77.49,,,,,,
73045,59.97333724286155,,,,,,75.304,57.92596689307264
73048,,,,,75.742,,,
73049,,,,,75.864,,,
73050,72.61,,,,,,64.11079680556735,58.33861714228844
73051,48.350152736716794,,72.154,,,,,
73057,,,,,,,75.922,56.7763264777871
73067,,,49.73189670629289,71.28,,,,
73068,,76.23,,,,,,
73070,,,,,,82.522,,
73071,,,,,,75.218,,
73078,,,,84.85,,,,
73080,,73.47,,,,,,
73081,,,,70.72999999999999,,,,
73082,,74.16,,,51.3349689864329,,,
73083,,76.37,,,,,,
73084,,,,,,69.934,54.228891741513024,
73085,76.61,,66.5697747934456,,,,,
73086,,73.99000000000001,,,,,,
73089,,71.96000000000001,,,,,,
73094,,,75.49,53.21972847381724,,,,
73113,,69.84628593443313,,,71.258,,,
73118,70.58,,,,,54.40046407322804,,55.29089448331962
73121,,,,,71.28999999999999,,,
73125,,,,72.07,,,,
73128,,79.57,,,,,,
73133,,75.71000000000001,,,,,,
73135,,78.51,,,,,,
73136,,70.01130047873883,,72.58,,,,
73138,,,,,,71.52199999999999,,
73146,73.79,,,,,,,
73147,,,,,,70.406,,
73149,72.53999999999999,,,,,,55.32561603496283,54.340319246395104
73151,73.38,,,,,,53.58473217646204,
73157,,,,,,71.07,,
73159,48.20701960337088,,57.38855007147596,,,,74.792,
73161,55.88152883529888,,76.116,,,,59.42052332161508,
73163,,78.36,,,,,,
