ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
233917,Dereck Kutesa,Left Midfielder,AEK Athens,Hellas Liga,Switzerland,73,Right,"['CAM', 'ST', 'LW']",28,"177cm / 5'10""",69kg / 152lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,10.45586996541485,70.05,56.183967491353705
261031,Ahmed Qasem,Left Winger,Nashville SC,MLS,Sweden,66,Left,"['RM', 'CAM', 'LM']",22,"178cm / 5'10""",72kg / 159lb,Winger,Attacking Midfielder,Flexible Position 2,31.988438071774,62.7,56.1771095179435
257692,Alban Ajdini,Striker,Lausanne-Sport,Brack Super League,Kosovo,69,Right,"['LM', 'LW']",26,"180cm / 5'11""",72kg / 159lb,Striker,Attacking Midfielder,Flexible Position 2,22.79252484280747,65.8,56.168131210701866
263312,Zidan Sertdemir,Central Midfielder,Preußen Münster,Bundesliga 2,Denmark,65,Left,['CDM'],21,"184cm / 6'0""",76kg / 168lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,35.96252082975067,61.05,56.16063020743767
252970,Armando Quitirna,Right Midfielder,Wycombe,EFL League One,Guinea-Bissau,64,Left,"['RB', 'RW']",25,"170cm / 5'7""",70kg / 154lb,Wide Midfielder,Attacking Midfielder,Flexible Position 1,36.50283598776975,61.550000000000004,56.14570899694244
262218,Kian Fitz-Jim,Central Midfielder,Ajax,Eredivisie,Holland,73,Right,['CAM'],22,"174cm / 5'9""",68kg / 150lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,12.531233824509972,68.6,56.12280845612749
276682,Cher Ndour,Central Midfielder,Fiorentina,Serie A Enilive,Italy,70,Right,"['CAM', 'CDM']",21,"190cm / 6'3""",84kg / 185lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,17.49583086834707,68.1,56.11395771708676
272839,Matías Giménez,Striker,Argentinos Jrs.,LPF,Argentina,70,Right,"['LW', 'LM']",27,"185cm / 6'1""",73kg / 161lb,Striker,Attacking Midfielder,Flexible Position 1,18.88385470455642,67.2,56.10096367613911
243970,Moritz-Broni Kwarteng,Right Winger,VfL Bochum 1848,Bundesliga 2,Germany,69,Right,"['CAM', 'RM']",27,"175cm / 5'9""",69kg / 152lb,Winger,Attacking Midfielder,Flexible Position 2,20.517682066711302,67.05,56.099420516677824
266061,Sota Kawasaki,Central Midfielder,1. FSV Mainz 05,Bundesliga,Japan,71,Right,"['CDM', 'CAM']",24,"172cm / 5'8""",68kg / 150lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,22.33086298648221,64.15,56.092715746620556
263789,Darlan,Central Midfielder,Wuhan Three Towns,CSL,Brazil,68,Left,"['ST', 'CAM']",27,"171cm / 5'7""",66kg / 146lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,24.67948298637294,65.3,56.089870746593235
251617,Armin Gigović,Central Midfielder,BSC Young Boys,Brack Super League,Bosnia and Herzegovina,72,Right,['CAM'],23,"187cm / 6'2""",78kg / 172lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,13.036281957844102,69.05,56.079070489461024
246788,Fernando Arismendi,Right Midfielder,GV San José,Sudamericana,Uruguay,64,Right,"['CM', 'RW']",35,"175cm / 5'9""",70kg / 154lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,34.01548891135968,62.9,56.06387222783992
271306,Khalil Fayad,Central Midfielder,Montpellier,Ligue 2 BKT,Morocco,70,Right,['CDM'],21,"172cm / 5'8""",61kg / 134lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,17.22853810067122,68.10000000000001,56.04713452516781
270008,Timur Gayret,Central Midfielder,SC Verl,3. Liga,Germany,65,Left,"['CAM', 'RM']",27,"176cm / 5'9""",69kg / 152lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,36.07531458356492,60.65,56.02882864589124
73895,Justin Devenny,Central Midfielder,Crystal Palace,Premier League,Northern Ireland,71,Left,['CAM'],22,"184cm / 6'0""",80kg / 176lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,11.45652599188484,70.75,56.014131497971206
259131,Jacob Trenskow,Right Midfielder,sc Heerenveen,Eredivisie,Denmark,69,Left,"['CM', 'RW']",25,"178cm / 5'10""",64kg / 141lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,20.86665910093054,66.6,56.006664775232636
241686,Manu Vallejo,Striker,AD Ceuta FC,LALIGA HYPERMOTION,Spain,65,Right,"['LM', 'CAM']",29,"167cm / 5'6""",72kg / 159lb,Striker,Attacking Midfielder,Flexible Position 1,26.89920419341784,66.3,55.994801048354454
261141,Malik Sellouki,Central Midfielder,Laval MFC,Ligue 2 BKT,France,68,Left,"['RM', 'CAM']",26,"177cm / 5'10""",67kg / 148lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,19.604105053643252,68.2,55.98102626341081
272346,Rokas Pukštas,Central Midfielder,Hajduk Split,Liga Hrvatska,United States,68,Right,['CAM'],21,"181cm / 5'11""",75kg / 165lb,Central Midfielder,Attacking Midfielder,Flexible Position 2,25.21395513965008,64.65,55.96348878491251
200713,Soner Aydoğdu,Central Midfielder,Samsunspor,Trendyol Süper Lig,Turkey,69,Left,"['CDM', 'CAM']",35,"180cm / 5'11""",72kg / 159lb,Central Midfielder,Attacking Midfielder,Flexible Position 1,13.20225842798071,71.25,55.95056460699517
232861,Kota Mizunuma,Right Midfielder,Newcastle Jets,A-League,Japan,69,Right,['RW'],36,"176cm / 5'9""",72kg / 159lb,Wide Midfielder,Attacking Midfielder,Flexible Position 2,18.15313184802681,68.15,55.94828296200671
